t_s,tx,rx,delay_us,sinr_db
0.0,term-a,sat-1,3200,12.0
0.0,sat-1,term-a,3200,12.0
10.0,term-a,sat-1,3400,11.0
10.0,sat-1,term-a,3400,11.0
18.0,term-a,sat-1,3600,0.0
18.0,sat-1,term-a,3600,9.0
24.0,term-a,sat-1,3800,9.0
24.0,sat-1,term-a,3800,9.0
30.0,term-a,sat-1,,
30.0,sat-1,term-a,,
30.0,term-a,sat-2,3300,12.0
30.0,sat-2,term-a,3300,12.0
45.0,term-a,sat-2,3500,11.0
45.0,sat-2,term-a,3500,11.0
0.0,term-b,sat-3,3100,13.0
0.0,sat-3,term-b,3100,13.0
30.0,term-b,sat-3,3300,12.5
30.0,sat-3,term-b,3300,12.5
